NP_414776_1	NC_000913.3	260099	259044
NP_415449_1	NC_000913.3	986981	985893
NP_415895_1	NC_000913.3	1436892	1435759
NP_416719_1	NC_000913.3	2312748	2311645
YP_009518782_1	NC_000913.3	1546027	1545737
NP_416270_1	NC_000913.3	1838746	1839399
NP_418456_1	NC_000913.3	4243515	4242625
NP_418458_1	NC_000913.3	4246418	4245228
NP_418459_1	NC_000913.3	4246783	4247898
NP_418457_1	NC_000913.3	4245074	4243530
NP_418460_1	NC_000913.3	4247970	4249310
NP_418634_1	NC_000913.3	4436564	4434621
NP_417312_1	NC_000913.3	2973861	2972668
NP_417313_1	NC_000913.3	2976013	2973854
NP_418009_2	NC_000913.3	3717309	3718283
NP_416602_1	NC_000913.3	2180094	2181098
NP_414980_2	NC_000913.3	467411	468229
NP_415652_1	NC_000913.3	1194287	1193826
NP_414928_2	NC_000913.3	410143	411051
NP_415684_1	NC_000913.3	1216368	1216634
NP_416289_1	NC_000913.3	1860228	1858849
NP_415529_1	NC_000913.3	1071764	1070964
NP_414722_1	NC_000913.3	202100	202555
NP_415474_1	NC_000913.3	1016469	1015951
NP_414881_1	NC_000913.3	368610	370274
NP_416604_1	NC_000913.3	2182780	2182034
NP_416141_4	NC_000913.3	1704307	1703267
NP_416606_1	NC_000913.3	2184515	2183715
NP_416607_1	NC_000913.3	2185300	2184512
NP_417096_1	NC_000913.3	2743624	2744106
YP_026228_1	NC_000913.3	3716546	3717205
NP_415611_1	NC_000913.3	1150669	1151403
NP_416136_1	NC_000913.3	1698039	1697272
NP_417378_1	NC_000913.3	3045900	3045157
NP_418670_1	NC_000913.3	4474052	4473339
NP_415613_1	NC_000913.3	1151938	1153179
NP_416826_1	NC_000913.3	2441604	2440384
NP_415915_1	NC_000913.3	1460892	1462097
NP_417321_2	NC_000913.3	2985591	2984410
NP_415760_1	NC_000913.3	1302898	1303818
NP_415761_1	NC_000913.3	1303833	1304741
NP_415763_1	NC_000913.3	1305763	1306767
YP_025300_1	NC_000913.3	1304753	1305766
NP_415845_2	NC_000913.3	1393226	1394839
NP_415904_3	NC_000913.3	1451348	1449075
NP_417078_4	NC_000913.3	2719222	2719920
NP_418045_4	NC_000913.3	3756510	3754972
NP_416603_1	NC_000913.3	2181095	2182060
NP_414819_1	NC_000913.3	301886	300930
NP_414820_1	NC_000913.3	302572	301883
NP_417357_1	NC_000913.3	3021315	3024185
NP_416749_4	NC_000913.3	2360151	2358862
NP_414544_1	NC_000913.3	2800	3732
NP_414545_1	NC_000913.3	3733	5019
NP_417586_1	NC_000913.3	3265016	3263685
NP_415710_1	NC_000913.3	1243079	1242165
NP_415759_1	NC_000913.3	1301181	1302812
NP_417492_1	NC_000913.3	3167717	3166110
NP_418687_1	NC_000913.3	4493350	4492586
NP_418686_1	NC_000913.3	4492524	4491205
